date,rate
2015 Q1,5.5
2015 Q2,5.6
2015 Q3,5.3
2015 Q4,5.1
2016 Q1,5.1
2016 Q2,4.9
2016 Q3,4.8
2016 Q4,4.7
2017 Q1,4.6
2017 Q2,4.4
2017 Q3,4.3
2017 Q4,4.4
2018 Q1,4.2
2018 Q2,4
2018 Q3,4.1
2018 Q4,4
2019 Q1,3.8
2019 Q2,3.9
2019 Q3,3.8
2019 Q4,3.8
2020 Q1,4
